Geneid	Length	1kcell	dome1	dome2
ENSDARG00000045877	1288	124	88	164
ENSDARG00000079391	624	1	10	18
ENSDARG00000015921	2014	50	96	204
ENSDARG00000099520	419	0	0	0
ENSDARG00000061544	5974	0	0	2
ENSDARG00000108289	603	0	0	0
ENSDARG00000020812	1768	0	0	0
ENSDARG00000094007	1181	0	0	0
ENSDARG00000093685	1272	0	0	0
ENSDARG00000059196	2205	0	0	0
ENSDARG00000009262	2657	0	2	2
ENSDARG00000018618	3132	408	326	711
ENSDARG00000045874	1066	28	60	140
ENSDARG00000057468	3471	41	39	90
ENSDARG00000045873	2129	0	10	27
ENSDARG00000079143	1012	2	4	6
ENSDARG00000057714	3537	0	0	0
ENSDARG00000045224	890	0	0	0
ENSDARG00000011246	1267	50	106	157
ENSDARG00000053709	1737	0	0	2
ENSDARG00000039724	1635	0	0	2
ENSDARG00000070441	2233	52	26	69
ENSDARG00000011961	2711	0	0	4
ENSDARG00000008986	3544	0	82	139
ENSDARG00000008235	3833	31	64	93
ENSDARG00000107595	116	0	0	0
ENSDARG00000004592	3156	0	0	0
ENSDARG00000006567	1190	12	19	61
ENSDARG00000016231	1788	24	35	29
ENSDARG00000016749	5072	10	4	27
ENSDARG00000004227	4221	4	0	2
ENSDARG00000006038	2814	200	291	427
ENSDARG00000045870	5240	230	122	209
ENSDARG00000060248	3068	156	40	36
ENSDARG00000017757	4762	46	12	12
ENSDARG00000030598	1722	0	0	0
ENSDARG00000077356	1592	0	0	2
ENSDARG00000097907	773	0	0	0
ENSDARG00000089860	2448	41	7	10
ENSDARG00000097073	903	0	2	0
ENSDARG00000039843	2695	49	56	76
ENSDARG00000077654	4264	2	0	6
ENSDARG00000070414	1511	0	0	0
ENSDARG00000067495	1185	0	0	0
ENSDARG00000045867	1597	0	0	0
ENSDARG00000095979	610	2	0	0
ENSDARG00000094531	471	0	0	0
ENSDARG00000107035	266	0	0	0
ENSDARG00000033296	1883	0	0	0
ENSDARG00000104357	852	0	0	0
ENSDARG00000107003	456	0	0	0
ENSDARG00000006283	2829	342	138	278
ENSDARG00000045864	3590	2	0	0
ENSDARG00000045863	1755	0	0	0
ENSDARG00000106454	2205	0	0	0
ENSDARG00000108426	537	0	0	0
ENSDARG00000093470	612	2	0	2
ENSDARG00000106849	707	0	0	0
ENSDARG00000105985	429	0	0	0
ENSDARG00000108904	2702	0	0	0
ENSDARG00000106480	1013	0	0	0
ENSDARG00000105162	616	0	2	0
ENSDARG00000107526	1606	0	0	2
ENSDARG00000016691	1944	136	107	239
ENSDARG00000101363	6656	0	0	0
ENSDARG00000095042	331	0	0	0
ENSDARG00000100963	780	0	0	0
ENSDARG00000059043	1070	0	0	0
ENSDARG00000075281	3526	84	40	50
ENSDARG00000023766	2660	38	14	16
ENSDARG00000097286	394	0	0	0
ENSDARG00000039356	2763	46	48	72
ENSDARG00000059064	4322	299	108	148
ENSDARG00000099725	684	0	0	0
ENSDARG00000090401	1480	4	7	21
ENSDARG00000063578	4560	0	0	2
ENSDARG00000106466	116	0	0	0
ENSDARG00000063563	6318	42	9	22
ENSDARG00000039350	1037	36	42	57
ENSDARG00000073963	2502	0	0	0
ENSDARG00000069607	1637	0	0	0
ENSDARG00000059053	2867	0	30	42
ENSDARG00000092677	644	6	2	2
ENSDARG00000020871	5704	38	50	60
ENSDARG00000039346	658	4	0	14
ENSDARG00000101565	776	0	0	0
ENSDARG00000108170	685	0	0	0
ENSDARG00000097044	1683	0	0	0
ENSDARG00000059003	4487	32	12	22
ENSDARG00000039343	2851	215	239	553
ENSDARG00000039340	2488	284	319	569
ENSDARG00000070408	2726	0	8	10
ENSDARG00000045858	1177	14	4	8
ENSDARG00000045856	721	0	0	0
ENSDARG00000045854	919	0	0	0
ENSDARG00000045853	1816	52	14	46
ENSDARG00000045851	4257	0	0	0
ENSDARG00000095324	1972	0	0	0
ENSDARG00000015623	2228	0	0	0
ENSDARG00000030694	1330	28	8	44
ENSDARG00000096037	859	0	2	4
ENSDARG00000045850	1470	14	4	2
ENSDARG00000015931	3304	0	0	0
ENSDARG00000063481	3165	0	0	0
ENSDARG00000045847	1819	487	380	805
ENSDARG00000045846	1634	2	4	12
ENSDARG00000045843	2664	80	97	198
ENSDARG00000045842	8143	238	102	170
ENSDARG00000095332	5948	90	64	104
ENSDARG00000014395	2673	2	0	2
ENSDARG00000045837	9185	0	2	2
ENSDARG00000094254	393	0	0	0
ENSDARG00000097507	1479	2	0	0
ENSDARG00000095186	501	0	0	0
ENSDARG00000096986	667	0	0	0
ENSDARG00000097353	569	0	0	0
ENSDARG00000018770	1383	0	0	0
ENSDARG00000045836	2530	0	2	7
ENSDARG00000006409	1695	0	72	101
ENSDARG00000045835	1571	0	2	7
ENSDARG00000045834	755	0	0	0
ENSDARG00000034700	3035	0	0	0
ENSDARG00000024465	986	26	56	92
ENSDARG00000017355	1138	0	0	0
ENSDARG00000031956	2958	104	14	36
ENSDARG00000108725	858	0	0	0
ENSDARG00000070220	2725	0	0	0
ENSDARG00000075956	2166	8	0	2
ENSDARG00000009607	2968	132	202	256
ENSDARG00000054321	2388	0	0	0
ENSDARG00000024654	2731	68	24	64
ENSDARG00000040610	5860	12	36	30
ENSDARG00000003200	3831	330	120	168
ENSDARG00000100253	837	0	0	0
ENSDARG00000091640	1108	63	21	49
ENSDARG00000073858	1705	2	4	12
ENSDARG00000088078	1675	0	1	0
ENSDARG00000099560	1925	12	4	12
ENSDARG00000087120	1925	0	0	0
ENSDARG00000099280	8953	124	218	412
ENSDARG00000101680	1059	37	104	114
ENSDARG00000108949	376	0	0	0
ENSDARG00000098745	4940	0	0	6
ENSDARG00000108490	455	0	0	0
ENSDARG00000074223	6170	43	14	23
ENSDARG00000093020	392	1	2	0
ENSDARG00000091974	1434	0	0	0
ENSDARG00000005453	3944	18	23	24
ENSDARG00000090468	4865	0	0	0
ENSDARG00000099281	1124	26	18	48
ENSDARG00000068701	3035	2	0	2
ENSDARG00000097967	479	0	0	0
ENSDARG00000068705	2251	148	116	218
ENSDARG00000068708	2603	8	10	38
ENSDARG00000024874	9367	204	46	116
ENSDARG00000096138	639	0	0	0
ENSDARG00000084778	136	0	0	0
ENSDARG00000106100	176	0	0	0
ENSDARG00000106644	1115	0	0	0
ENSDARG00000107521	117	0	0	0
ENSDARG00000102849	3004	0	0	0
ENSDARG00000107816	117	0	0	0
ENSDARG00000106337	117	0	0	0
ENSDARG00000102702	2515	0	0	4
ENSDARG00000102461	288	0	0	0
ENSDARG00000101296	1011	0	0	0
ENSDARG00000099870	2325	0	0	0
ENSDARG00000070314	4915	0	4	3
ENSDARG00000045822	1751	2	0	0
ENSDARG00000105079	482	0	0	0
ENSDARG00000107275	1112	0	0	0
ENSDARG00000108901	998	0	0	0
ENSDARG00000107616	475	0	0	0
ENSDARG00000101254	639	0	0	0
ENSDARG00000018688	2572	0	0	10
ENSDARG00000006029	2183	81	110	206
ENSDARG00000108043	117	0	0	0
ENSDARG00000079470	2033	44	47	119
ENSDARG00000105096	913	0	0	0
ENSDARG00000104976	1822	0	0	0
ENSDARG00000086740	2995	0	2	0
ENSDARG00000027799	580	0	0	0
ENSDARG00000045815	2837	196	69	154
ENSDARG00000078073	1628	106	60	147
ENSDARG00000075025	1801	8	6	36
ENSDARG00000074905	2842	0	0	0
ENSDARG00000026052	1444	0	0	0
ENSDARG00000002663	2455	36	3	4
ENSDARG00000074547	513	0	0	0
ENSDARG00000076313	589	0	0	0
ENSDARG00000074613	569	0	0	0
ENSDARG00000039392	13228	146	60	64
ENSDARG00000039393	1084	0	0	0
ENSDARG00000108662	117	0	0	0
ENSDARG00000081119	118	0	0	0
ENSDARG00000079824	1002	0	0	0
ENSDARG00000076014	5050	14	6	14
ENSDARG00000106572	116	0	0	0
ENSDARG00000031930	763	0	0	0
ENSDARG00000102464	2057	0	0	2
ENSDARG00000081240	122	0	0	0
ENSDARG00000045801	2325	0	48	82
ENSDARG00000096855	1411	0	0	0
ENSDARG00000101849	2500	246	224	375
ENSDARG00000093557	348	0	0	0
ENSDARG00000107102	1490	7	3	2
ENSDARG00000108559	1035	0	0	0
ENSDARG00000103537	2326	25	25	43
ENSDARG00000102020	1890	2	0	2
ENSDARG00000101967	2869	0	0	0
ENSDARG00000088181	1433	5	0	2
ENSDARG00000063097	4580	0	0	0
ENSDARG00000039681	2189	147	66	84
ENSDARG00000070230	3075	14	4	9
ENSDARG00000077926	1228	34	94	82
ENSDARG00000073881	4223	13	6	8
ENSDARG00000034375	2432	0	2	0
ENSDARG00000039185	1337	145	186	266
ENSDARG00000058127	3455	178	275	507
ENSDARG00000045788	5174	0	0	0
ENSDARG00000045789	8409	128	26	42
ENSDARG00000045790	1974	52	64	119
ENSDARG00000058159	3793	50	25	43
ENSDARG00000063149	8773	12	8	6
ENSDARG00000016538	2874	12	4	16
ENSDARG00000025859	2582	180	88	230
ENSDARG00000058042	1845	0	4	0
ENSDARG00000088044	2043	0	0	0
ENSDARG00000091656	628	26	24	28
ENSDARG00000099821	2054	0	0	0
ENSDARG00000063054	7474	0	0	0
ENSDARG00000075501	1916	0	0	0
ENSDARG00000058030	2249	132	215	386
ENSDARG00000045704	2903	20	24	41
ENSDARG00000045705	861	0	1	0
ENSDARG00000033179	1956	28	0	6
ENSDARG00000094000	1239	2	4	0
ENSDARG00000093445	1239	4	4	1
ENSDARG00000096009	700	0	0	0
ENSDARG00000025824	4646	96	52	124
ENSDARG00000004386	3824	0	0	0
ENSDARG00000045706	1883	2	2	10
ENSDARG00000094732	6001	2	4	10
ENSDARG00000057983	2239	42	71	132
ENSDARG00000063008	8078	2	0	3
ENSDARG00000057974	2414	53	38	52
ENSDARG00000086650	3581	2	0	2
ENSDARG00000003570	4585	924	813	1258
ENSDARG00000057942	1585	0	0	0
ENSDARG00000062983	3955	340	271	401
ENSDARG00000045708	1824	0	2	0
ENSDARG00000070126	1473	0	0	0
ENSDARG00000062968	8631	306	238	532
ENSDARG00000057929	1902	150	64	96
ENSDARG00000057921	2410	0	4	0
ENSDARG00000108805	580	0	2	0
ENSDARG00000018820	9577	4	2	0
ENSDARG00000106496	448	0	0	0
ENSDARG00000032799	3426	0	0	0
ENSDARG00000032389	1851	0	0	0
ENSDARG00000034326	2155	282	188	423
ENSDARG00000045747	3962	8	4	10
ENSDARG00000106389	117	0	0	0
ENSDARG00000094973	2080	0	0	0
ENSDARG00000045748	8089	18	4	4
ENSDARG00000094597	1376	108	98	92
ENSDARG00000092922	330	0	0	0
ENSDARG00000097175	385	0	0	0
ENSDARG00000093853	330	0	0	0
ENSDARG00000095446	474	0	0	0
ENSDARG00000093014	443	0	0	0
ENSDARG00000096967	321	0	0	0
ENSDARG00000045749	4750	206	158	282
ENSDARG00000095994	927	0	0	0
ENSDARG00000045750	4981	0	4	3
ENSDARG00000095981	3710	0	0	0
ENSDARG00000045752	7189	0	0	0
ENSDARG00000092989	6160	0	2	0
ENSDARG00000045753	3764	44	16	18
ENSDARG00000045754	4945	30	4	14
ENSDARG00000045755	1752	60	39	45
ENSDARG00000096083	5193	0	0	0
ENSDARG00000096010	268	0	0	0
ENSDARG00000096184	5429	0	0	0
ENSDARG00000096047	1236	0	0	0
ENSDARG00000094603	5587	0	0	0
ENSDARG00000096156	5121	0	0	0
ENSDARG00000107596	134	0	0	0
ENSDARG00000096187	3646	0	0	0
ENSDARG00000096039	714	0	0	0
ENSDARG00000096153	2898	0	0	0
ENSDARG00000045758	4935	0	2	2
ENSDARG00000045760	3776	2	0	5
ENSDARG00000001781	1089	2	0	2
ENSDARG00000096114	785	0	0	0
ENSDARG00000096218	194	0	0	0
ENSDARG00000096131	539	0	0	0
ENSDARG00000094545	916	0	0	0
ENSDARG00000019235	4617	28	2	4
ENSDARG00000063299	14471	0	0	0
ENSDARG00000070015	1752	0	0	0
ENSDARG00000003822	1589	8	6	6
ENSDARG00000005451	2542	350	452	686
ENSDARG00000079698	1852	0	2	0
ENSDARG00000045765	1383	2	0	11
ENSDARG00000109078	117	0	0	0
ENSDARG00000032765	3764	0	356	495
ENSDARG00000081841	98	0	0	0
ENSDARG00000081284	88	0	0	0
ENSDARG00000096147	1475	0	0	0
ENSDARG00000108311	305	0	0	0
ENSDARG00000025576	4952	438	53	72
ENSDARG00000031228	4160	0	0	0
ENSDARG00000096099	895	4	0	0
ENSDARG00000093427	649	0	0	0
ENSDARG00000092083	302	0	0	0
ENSDARG00000094299	530	0	0	2
ENSDARG00000005891	1980	54	48	69
ENSDARG00000063255	6230	0	5	8
ENSDARG00000094457	2389	0	0	2
ENSDARG00000045768	3354	0	4	16
ENSDARG00000032242	1909	0	0	0
ENSDARG00000058366	2153	100	148	220
ENSDARG00000108466	219	0	0	0
ENSDARG00000106332	565	0	0	0
ENSDARG00000107235	267	0	0	0
ENSDARG00000017661	3074	53	38	84
ENSDARG00000020015	2227	28	24	42
ENSDARG00000006747	10605	0	0	0
ENSDARG00000094980	1289	0	2	4
ENSDARG00000108090	1330	0	0	0
ENSDARG00000007639	4501	456	196	395
ENSDARG00000041665	3473	272	140	256
ENSDARG00000087319	4001	0	0	0
ENSDARG00000058244	3069	4	0	2
ENSDARG00000095461	1665	0	0	0
ENSDARG00000103365	1803	0	0	1
ENSDARG00000074873	1661	0	0	0
ENSDARG00000104625	1516	0	0	0
ENSDARG00000103215	1808	0	0	0
ENSDARG00000019396	1875	0	0	0
ENSDARG00000013476	1985	110	122	208
ENSDARG00000085437	125	0	0	0
ENSDARG00000008720	2913	0	0	0
ENSDARG00000032618	1537	0	2	0
ENSDARG00000022165	2149	0	0	2
ENSDARG00000109192	1139	0	0	0
ENSDARG00000005897	1444	12	18	22
ENSDARG00000053127	4197	220	253	454
ENSDARG00000053131	2170	0	5	16
ENSDARG00000053136	1314	0	4	12
ENSDARG00000069912	1415	0	0	0
ENSDARG00000106978	521	0	0	0
ENSDARG00000045658	2485	4	8	4
ENSDARG00000015824	3924	454	539	1121
ENSDARG00000005541	1883	0	0	0
ENSDARG00000078613	540	2	3	2
ENSDARG00000014361	1897	80	41	69
ENSDARG00000094001	658	2	1	0
ENSDARG00000097457	988	0	0	2
ENSDARG00000096135	700	0	0	0
ENSDARG00000106390	441	10	9	10
ENSDARG00000015053	7076	46	40	59
ENSDARG00000108965	787	0	0	0
ENSDARG00000108427	1113	0	0	0
ENSDARG00000108089	589	2	0	1
ENSDARG00000017841	4824	538	575	638
ENSDARG00000045669	2341	0	2	0
ENSDARG00000094646	5369	16	154	194
ENSDARG00000107553	515	0	0	0
ENSDARG00000108105	208	0	0	0
ENSDARG00000092714	1243	0	0	0
ENSDARG00000024211	570	0	0	0
ENSDARG00000045671	513	0	0	0
ENSDARG00000045672	639	0	0	0
ENSDARG00000045673	642	0	0	0
ENSDARG00000045675	2653	4	3	4
ENSDARG00000045676	2216	84	126	254
ENSDARG00000045677	1777	2	0	0
ENSDARG00000081977	99	0	0	0
ENSDARG00000045680	4193	804	873	1688
ENSDARG00000045681	2844	44	36	48
ENSDARG00000045683	3680	4	4	6
ENSDARG00000078745	3574	94	4	8
ENSDARG00000105458	850	0	0	0
ENSDARG00000006396	4595	2	6	11
ENSDARG00000045685	4871	0	0	0
ENSDARG00000045687	2589	12	6	10
ENSDARG00000107084	1154	0	0	0
ENSDARG00000022550	1826	2	0	0
ENSDARG00000045692	2401	124	158	281
ENSDARG00000015966	2110	6	74	92
ENSDARG00000045691	1109	94	70	114
ENSDARG00000045694	3531	0	198	318
ENSDARG00000086259	1264	12	5	6
ENSDARG00000095980	886	0	0	0
ENSDARG00000090957	1645	24	4	8
ENSDARG00000096149	1067	0	0	0
ENSDARG00000108518	266	0	0	0
ENSDARG00000107862	264	0	0	0
ENSDARG00000106913	930	0	0	0
ENSDARG00000094329	421	0	0	0
ENSDARG00000069780	6314	37	23	49
ENSDARG00000094534	1180	0	1	4
ENSDARG00000092409	421	0	0	0
ENSDARG00000097023	393	0	17	10
ENSDARG00000097419	245	0	0	0
ENSDARG00000062808	1553	2	1	2
ENSDARG00000093588	422	0	0	0
ENSDARG00000011661	2616	108	204	262
ENSDARG00000062797	5126	0	0	0
ENSDARG00000018744	971	0	0	0
ENSDARG00000020086	2124	0	0	0
ENSDARG00000096496	767	0	0	2
ENSDARG00000092161	403	0	0	0
ENSDARG00000003811	7410	422	345	484
ENSDARG00000094799	1792	3	6	4
ENSDARG00000077090	2274	11	21	12
ENSDARG00000079892	2264	2	1	2
ENSDARG00000015985	5993	0	0	0
ENSDARG00000045589	1251	0	0	0
ENSDARG00000087328	141	0	0	0
ENSDARG00000057334	2499	24	10	18
ENSDARG00000089313	141	0	0	0
ENSDARG00000106193	116	0	0	0
ENSDARG00000045594	4147	0	0	0
ENSDARG00000045595	1296	2	0	2
ENSDARG00000006215	1293	0	0	2
ENSDARG00000045598	1592	118	0	2
ENSDARG00000017366	3701	8	14	28
ENSDARG00000020101	1456	74	112	180
ENSDARG00000022424	3505	118	100	206
ENSDARG00000004497	2013	0	0	2
ENSDARG00000002952	6212	4	62	84
ENSDARG00000045601	2610	100	122	148
ENSDARG00000007764	3916	436	84	96
ENSDARG00000096823	230	0	0	0
ENSDARG00000062651	2411	338	474	936
ENSDARG00000000019	2758	252	236	389
ENSDARG00000080467	98	0	0	0
ENSDARG00000083126	110	0	0	0
ENSDARG00000081095	68	0	0	0
ENSDARG00000000018	2933	281	238	410
ENSDARG00000092341	1124	0	0	0
ENSDARG00000105918	1510	0	0	0
ENSDARG00000093247	697	0	0	0
ENSDARG00000019328	9305	2	6	3
ENSDARG00000032919	1799	70	84	152
ENSDARG00000004336	3102	42	58	107
ENSDARG00000094584	1156	0	0	0
ENSDARG00000069698	2549	0	0	0
ENSDARG00000107641	731	0	0	0
ENSDARG00000069692	7684	2	0	2
ENSDARG00000093135	503	2	1	2
ENSDARG00000092944	89	0	0	2
ENSDARG00000092064	1593	0	0	0
ENSDARG00000089640	1017	0	0	0
ENSDARG00000087241	444	0	0	0
ENSDARG00000034823	2978	268	258	526
ENSDARG00000032319	1468	0	0	2
ENSDARG00000097754	662	0	0	0
ENSDARG00000095103	369	0	0	0
ENSDARG00000106492	154	0	0	0
ENSDARG00000093168	371	0	0	0
ENSDARG00000093983	1101	10	5	8
ENSDARG00000107249	288	0	0	0
ENSDARG00000092097	303	0	0	0
ENSDARG00000092453	368	0	0	0
ENSDARG00000108035	154	0	0	0
ENSDARG00000105979	463	0	0	0
ENSDARG00000092479	368	0	0	0
ENSDARG00000092298	368	0	0	0
ENSDARG00000095323	368	0	0	0
ENSDARG00000012684	7375	822	913	1636
ENSDARG00000108412	117	0	0	0
ENSDARG00000056954	1196	10	35	45
ENSDARG00000056950	6550	0	47	72
ENSDARG00000056938	2951	0	0	2
ENSDARG00000045580	1805	0	0	0
ENSDARG00000012066	2383	0	2	0
ENSDARG00000106732	1048	0	0	0
ENSDARG00000088002	6056	0	2	0
ENSDARG00000027249	3627	37	286	461
ENSDARG00000020749	3630	854	360	762
ENSDARG00000032653	889	2	1	4
ENSDARG00000003789	8634	372	414	600
ENSDARG00000023026	3267	2	2	2
ENSDARG00000027316	2843	24	51	60
ENSDARG00000109019	154	0	0	0
ENSDARG00000108607	266	0	0	0
ENSDARG00000095159	457	0	0	0
ENSDARG00000093371	365	0	0	0
ENSDARG00000004904	2471	26	25	33
ENSDARG00000093058	1321	74	66	174
ENSDARG00000022795	533	2	0	5
ENSDARG00000056859	671	0	0	0
ENSDARG00000077985	786	0	0	0
ENSDARG00000019644	1633	582	730	1204
ENSDARG00000027424	1514	0	2	0
ENSDARG00000007315	2587	362	258	492
ENSDARG00000007405	1823	482	497	781
ENSDARG00000019420	4784	0	6	14
ENSDARG00000011582	7523	2	4	0
ENSDARG00000085074	118	0	0	0
ENSDARG00000107925	396	0	0	0
ENSDARG00000106175	878	0	0	0
ENSDARG00000091957	262	0	0	0
ENSDARG00000016815	2670	0	0	0
ENSDARG00000045574	6133	724	576	1007
ENSDARG00000045568	2950	2	2	4
ENSDARG00000094132	1237	0	0	0
ENSDARG00000094191	1872	22	12	20
ENSDARG00000073959	580	0	0	0
ENSDARG00000029944	3642	450	68	149
ENSDARG00000093287	487	0	0	0
ENSDARG00000038384	1641	0	0	0
ENSDARG00000020143	2314	0	0	0
ENSDARG00000038386	1977	0	0	2
ENSDARG00000007175	4073	56	26	42
ENSDARG00000002174	1482	24	2	13
ENSDARG00000079985	3685	0	0	0
ENSDARG00000006011	3649	8	14	6
ENSDARG00000002128	1993	118	159	373
ENSDARG00000045563	2256	26	18	32
ENSDARG00000045561	1016	0	2	3
ENSDARG00000030153	5169	126	128	228
ENSDARG00000014572	2563	0	0	0
ENSDARG00000045560	4275	0	0	0
ENSDARG00000094593	607	0	0	0
ENSDARG00000097601	2108	0	0	0
ENSDARG00000087438	1233	0	0	0
ENSDARG00000012435	1095	0	0	0
ENSDARG00000016886	1033	4	0	0
ENSDARG00000076690	927	0	0	0
ENSDARG00000021239	5077	60	62	96
ENSDARG00000003512	6311	4	0	6
ENSDARG00000004055	6193	106	36	96
ENSDARG00000015278	4924	0	0	0
ENSDARG00000106059	999	0	0	0
ENSDARG00000107051	980	0	0	0
ENSDARG00000028192	603	31	6	7
ENSDARG00000097434	916	0	0	0
ENSDARG00000045557	1791	4	2	2
ENSDARG00000033757	2314	187	110	195
ENSDARG00000045555	985	6	4	4
ENSDARG00000073965	562	0	0	0
ENSDARG00000045552	726	0	0	0
ENSDARG00000005547	2611	71	38	38
ENSDARG00000097195	1753	4	2	2
ENSDARG00000107183	174	0	0	0
ENSDARG00000029018	2357	0	2	6
ENSDARG00000095705	2593	9	5	28
ENSDARG00000031777	4667	10	2	12
ENSDARG00000081807	94	0	0	0
ENSDARG00000082287	107	0	0	0
ENSDARG00000106063	408	0	0	0
ENSDARG00000022858	3156	0	0	0
ENSDARG00000008439	2610	8	5	11
ENSDARG00000034717	1777	6	4	10
ENSDARG00000069431	3702	0	0	2
ENSDARG00000003615	2925	0	0	0
ENSDARG00000007371	2244	0	0	0
ENSDARG00000015222	1879	122	80	129
ENSDARG00000096473	813	0	0	0
ENSDARG00000045549	1262	0	0	2
ENSDARG00000016613	1380	0	0	0
ENSDARG00000008867	2889	66	82	110
ENSDARG00000094428	1293	0	0	0
ENSDARG00000029524	3614	34	52	98
ENSDARG00000099812	5479	30	12	26
ENSDARG00000045548	589	0	0	0
ENSDARG00000082824	90	0	0	0
ENSDARG00000083992	121	0	0	0
ENSDARG00000094118	736	0	13	17
ENSDARG00000109183	1765	0	0	0
ENSDARG00000006766	4268	236	376	578
ENSDARG00000069402	4108	0	0	0
ENSDARG00000021336	1376	0	0	0
ENSDARG00000045544	3597	0	0	0
ENSDARG00000014804	8364	19	2	14
ENSDARG00000001912	6323	18	8	14
ENSDARG00000106138	1461	0	0	0
ENSDARG00000104301	365	2	0	0
ENSDARG00000045543	976	16	8	6
ENSDARG00000045542	979	60	108	141
ENSDARG00000088733	3015	0	2	0
ENSDARG00000045541	2870	245	46	101
ENSDARG00000011605	3582	366	150	196
ENSDARG00000045540	3325	206	173	266
ENSDARG00000056152	2193	240	262	353
ENSDARG00000056145	2401	0	0	0
ENSDARG00000101236	3220	114	60	118
ENSDARG00000037960	3097	0	0	0
ENSDARG00000017163	609	174	29	34
ENSDARG00000004794	3806	14	20	26
ENSDARG00000019861	2524	0	0	0
ENSDARG00000045481	2717	55	8	12
ENSDARG00000045482	1751	129	85	96
ENSDARG00000103810	1469	0	0	0
ENSDARG00000045483	1055	0	0	0
ENSDARG00000026855	2228	0	0	0
ENSDARG00000045484	2470	48	8	26
ENSDARG00000008398	6852	0	0	0
ENSDARG00000082618	122	0	0	0
ENSDARG00000009252	1750	8	4	10
ENSDARG00000011764	2666	284	284	450
ENSDARG00000045485	1681	12	9	10
ENSDARG00000082068	118	0	0	0
ENSDARG00000055245	2012	0	0	0
ENSDARG00000107864	1311	0	0	0
ENSDARG00000108653	395	0	0	0
ENSDARG00000106413	332	0	0	0
ENSDARG00000090038	2831	0	0	0
ENSDARG00000090277	1501	0	0	0
ENSDARG00000005476	8472	16	7	10
ENSDARG00000108703	1764	0	0	0
ENSDARG00000030614	3311	16	6	9
ENSDARG00000045486	2750	75	43	61
ENSDARG00000010784	6890	463	96	207
ENSDARG00000108076	721	0	0	0
ENSDARG00000045487	1738	54	118	296
ENSDARG00000092717	750	2	0	0
ENSDARG00000097427	722	0	0	0
ENSDARG00000029830	720	0	0	0
ENSDARG00000007277	1415	0	0	0
ENSDARG00000098436	122	0	0	0
ENSDARG00000013414	2723	0	0	0
